year,rpw,area
1996,1568662,AI
1998,2268851.362,AI
2000,3039420.579,AI
2002,3093886.877,AI
2004,3121848.302,AI
2006,3914703.392,AI
2008,1985444.715,AI
2010,3734142.01,AI
2012,2598777.462,AI
2014,3977879.959,AI
2016,3503718,AI
2018,2386827,AI
2020,1908200,AI
1997,762639,EBS
1999,571852,EBS
2001,398950,EBS
2003,538190,EBS
2005,694456,EBS
2007,437268,EBS
2009,521179,EBS
2011,574349,EBS
2013,605727,EBS
2015,584723,EBS
2017,727514,EBS
2019,434460,EBS
1992,686827,GOA
1993,1041508,GOA
1994,1018292,GOA
1995,1264245,GOA
1996,1121058,GOA
1997,1266800,GOA
1998,1066477,GOA
1999,1277141,GOA
2000,1143980,GOA
2001,1067335,GOA
2002,904922,GOA
2003,1058570,GOA
2004,801271,GOA
2005,826495,GOA
2006,857510,GOA
2007,1242833,GOA
2008,919083,GOA
2009,1063104,GOA
2010,1236692,GOA
2011,829476,GOA
2012,911728,GOA
2013,896776,GOA
2014,848321,GOA
2015,1235344,GOA
2016,852816.0492,GOA
2017,921174.8316,GOA
2018,788178.4981,GOA
2019,919781.729,GOA
2020,489271.2217,GOA
